Tissue	Animal	RNA_SRR	ATAC_SRR
Adipose	P348	SRR12697090	SRR12697154
Adipose	P350	SRR12697091	SRR12697155
Cerebellum	P348	SRR12697096	SRR12697157
Cerebellum	P350	SRR12697097	SRR12697158
Cortex	P348	SRR12697102	SRR12697161
Cortex	P350	SRR12697103	SRR12697162
Hypothalamus	P348	SRR12697108	SRR12697165
Hypothalamus	P350	SRR12697109	SRR12697166
Liver	P348	SRR12697114	SRR12697169
Liver	P350	SRR12697115	SRR12697170
Lung	P348	SRR12697120	SRR12697173
Lung	P350	SRR12697121	SRR12697174
Muscle	P348	SRR12697126	SRR12697177
Muscle	P350	SRR12697127	SRR12697178
Spleen	P348	SRR12697132	SRR12697181
Spleen	P350	SRR12697133	SRR12697182
